Prompt,Answer
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","There is no easy answer when it comes to overcoming feelings of worthlessness, but it is possible. First, it is important to understand that these feelings are often based on irrational thoughts. If you can identify the thoughts that are contributing to your feelings of worthlessness, you can start to challenge and reframe them. Second, make an effort to do things that make you feel good about yourself. This could involve engaging in activities that make you feel accomplished, spending time with people who make you feel loved and valued, or simply taking care of yourself in small ways. Lastly, be patient with yourself. These feelings likely did not develop overnight and they will not go away overnight either. Allow yourself time and space to work through them at your own pace."
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.","There are a number of reasons why people self-harm, and often it can be a way of coping with difficult emotions or situations. If you find that you're self-harming when you see something sad or depressing, it might be a sign that you're not dealing with your emotions in a healthy way. It's important to talk to someone about what you're going through, and to find other ways to cope with your emotions."
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.","It is common for people to experience a range of emotions after they are discharged from the hospital. For some people, the initial euphoria of being home is quickly replaced by feelings of depression and hopelessness. If your loved one is struggling after being discharged from the hospital, it is important to talk to their doctor about how they are feeling. There may be some medications or therapies that can help to ease their transition back home."
"How do therapists classify the type of personality their clients have? What characteristics do they look at to decide what type of personality the client has? I've read about this online, but I'd like to understand this from a therapist's point of view.","There is no one answer to this question, as different therapists may use different methods to classify the personality types of their clients. However, some common methods used to assess personality include administering personality tests, observing client behavior, and interviewing the client. therapists may also look at characteristics such as the client's level of introversion or extroversion, their ability to cope with stress, and any patterns of thought or behavior that seem to be recurrent."
How can I get to a place where I can be content from day to day?,"There is no one answer to this question, as different people find contentment in different things. However, some tips that may help include staying present and mindful of the moment, practicing gratitude, and connecting with loved ones. Additionally, it can be helpful to focus on activities that bring joy and meaning into your life, and to let go of negative thoughts and emotions that do not serve you."
"I keep having these random thoughts that I don't want. Things like ""you aren't worth anything."" I know they're my own thoughts but it feels like someone else is saying it.
   What is wrong with me, and how can I stop having these thoughts?","There could be a number of things going on here. It could be a sign of depression or anxiety, or it could be that you're internalizing negative messages that you've heard from others. It could also be a combination of both.

If you're struggling with negative thoughts, it might be helpful to talk to a therapist or counselor who can help you understand where they're coming from and how to deal with them. It can also be helpful to practice positive self-talk and to surround yourself with positive people who can support you."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","I would suggest that you try to find a doctor who specializes in treating ADHD, anxiety, and depression. It may be difficult to find one in your area, but it is worth a try. You can also try to find a support group for people with these disorders."
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?","There could be many potential causes for this problem, and it is important to speak with a doctor or healthcare provider to rule out any underlying medical conditions. Possible causes could include stress, anxiety, depression, low testosterone levels, certain medications, and nerve damage. There are many potential treatments for this problem, including counseling, therapy, lifestyle changes, and medications."
"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life?","There is no one answer that will work for everyone when it comes to living a more balanced life. However, some things that may help include:

• Finding ways to cope with stress and anxiety in a healthy way, such as through exercise, relaxation techniques, or journaling.

• Identifying and avoid triggers that can cause mood swings or make depression worse.

• Talking to a therapist or counselor who can help you understand your emotions and develop healthy coping mechanisms.

• Taking medication as prescribed by a doctor, if necessary."
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.","There are a few things that you can do to try and break the cycle of self-harming when you see something sad or depressing. First, try to find a healthy outlet for your emotions, such as talking to a friend or therapist, writing in a journal, or exercising. Second, try to avoid triggers that lead you to self-harm, such as looking at pictures or videos that are upsetting, or being around people who make you feel bad about yourself. Finally, make sure to have a support system in place to help you when you feel like you're about to self-harm, such as a friend or family member who you can call or text when you're feeling urges to self-harm."
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","If you feel that you need an emotional support dog in order to manage your anxiety and depression, you should speak to your doctor again and ask for a letter stating that you have a disability that requires an emotional support dog. You should then take this letter to your apartment manager and explain that you have a legitimate need for an emotional support dog. If they still refuse to allow you to keep the dog, you may need to look for another place to live."
"Is it normal for people to cry during therapy, or is it just me?","There is no one answer to this question, as people can react differently to therapy. Some people may find that they cry during therapy, while others may not. It is important to remember that everyone is different, and that how someone reacts to therapy will depend on their own individual experiences and emotions."
"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.","It might not be entirely accurate to say that you enjoy being sad, but it definitely seems like you have a tendency to focus on and seek out negative emotions. Maybe try listening to happier music, reading more upbeat stories, and thinking about positive aspects of your life more often. See if that helps you feel better!"
Every winter I find myself getting sad because of the weather. How can I fight this?,"There are a few things you can do to try and fight the winter blues:

1. Get outside: Even though it may be cold, getting some fresh air can do wonders for your mood. bundle up and take a walk, go for a run, or just sit outside for a few minutes each day.

2. Exercise: Exercise releases endorphins, which have mood-boosting effects. So, even if you don’t love working out, it can still help you feel better during the winter.

3. Connect with friends and family: Spending time with loved ones can help chase away the blues. Whether you meet up in person or just stay in touch via text, calls, or social media, staying connected can help you feel less alone and more supported.

4. Do something you enjoy: Make time for activities that make you happy. This could be reading, playing music, watching your favorite TV show, or anything else that brings you joy.

5. Seek professional help: If you’re struggling to manage your winter blues, it may be time to seek professional help. A therapist can help you understand and manage your symptoms, and they can provide additional support and resources."
How does a counselor decide when to end counseling sessions or to terminate working with a client?,"A counselor may end counseling sessions or terminate working with a client for a number of reasons. Some reasons may be due to the counselor's personal beliefs or values, while others may be due to the client's behavior."
"I just don't know what I want in life anymore. I'm can't figure out what it is that is keeping me distracted and unfocused. I can't put things into perspective at all. I'm just stuck, and I'm disappointed with my lack of accomplishments.","It can be difficult to figure out what we want in life, especially when we feel stuck or uncertain. However, it is important to remember that we can always make progress, even if it feels slow at times. One first step might be to sit down and reflect on what is most important to you. What do you value most in life? What makes you happy? Once you have a better sense of what you are looking for, you can start to take steps to achieve your goals.

It is also important to be patient with yourself. Life can be unpredictable and it can take time to figure out what we want. Just keep moving forward and trust that you will eventually find your path."
Does counseling really do anything that can help people?,"There is no one-size-fits-all answer to this question, as the effectiveness of counseling depends on a variety of factors, including the specific goals of the counseling, the qualifications of the counselor, and the willingness of the person being counseled to engage in the process. However, many people do find counseling to be helpful in managing their mental health and wellbeing."
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It is normal to feel nervous and shaky when you first start therapy. It can take some time to get used to the process and to feel comfortable opening up to your therapist. If you are still feeling nervous after a few sessions, you can talk to your therapist about it and they can help you to feel more comfortable."
How does a person start the counseling process?,"There is no one-size-fits-all answer to this question, as the counseling process may vary depending on the individual's needs and goals. However, some tips on how to start the counseling process may include seeking out a qualified counselor, discussing your goals for counseling with the counselor, and being open and honest about your thoughts and feelings during counseling sessions."
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,"There are a few things you can do to help your girlfriend if she is struggling with depression after quitting drinking. First, try to be understanding and supportive. Let her know that you are there for her and that you understand how difficult it can be to make this change. Secondly, encourage her to seek professional help if she is struggling to cope. Finally, try to do things together that make her happy and help her to feel connected to you and to her life."
"I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. I’m just so hurt, and I keep breaking down.","It sounds like you've been through a lot in the last few years. It's totally understandable that you would feel overwhelmed and like you're not stable. It sounds like your family is trying to support you, but maybe they don't really understand what you're going through. Maybe you could try talking to a counselor or therapist who can help you deal with your emotions in a healthy way."
"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it?","It's completely normal to feel like you've lost your identity after becoming a parent. It's a huge life change and it can be hard to adjust. It's important to find time for yourself, even if it's just a few minutes a day. Do something that you enjoy and that makes you feel like yourself. It could be reading, going for a walk, or listening to music. carving out some time for yourself will help you feel happier and more fulfilled."
"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?","Counseling can definitely help with depression and anxiety. It can provide you with tools to deal with difficult emotions, work through stressful situations, and develop healthy coping mechanisms. If you feel like your depression is getting worse, it may be a good idea to talk to your doctor or counselor about your options."
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.","You may be feeling like you don't belong because you don't have a place that feels like home. Maybe you've never had a place that felt like home, or maybe you've moved around a lot and never had a chance to settle in. Either way, it's important to find a place where you feel comfortable and safe. Try to find a community or group of people who make you feel like you belong. Once you find somewhere that feels like home, you'll likely start to feel more settled and content."
I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.,"If you're worried about a friend and think they may be suffering from depression, it's important to encourage them to seek professional help. While they may not want to talk to you about it, it's important to let them know that you're there for them and offer any support you can. You could also try to get in touch with their family or other close friends to see if they can offer any assistance."
I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.,See a doctor.
"When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.","There could be many reasons why you feel this way around certain people or in certain situations. It could be that you're feeling overwhelmed or stressed in those situations, or it could be that something is triggering negative emotions for you. If you're not sure what the cause is, it might be helpful to talk to a therapist or counselor who can help you explore your feelings and figure out what might be going on."
"I am a teenager. I have been experiencing major episodes of depression (if that's even what it is) for several years. It’s always getting worse. I have been having panic attacks, feeling like I can't control my fears, and I can't even bring myself to care if I live or die anymore. The problem is that I don't know who to ask for help. When I try to talk to my parents, I freeze completely and can't do anything but make a joke because never once in my life have we talked about our feelings.","It can be difficult to talk to your parents about your feelings, especially if you don't feel like you have a close relationship with them. However, it's important to reach out for help if you're feeling depressed or having panic attacks. There are many resources available to teenagers who are struggling with mental health issues. You can start by talking to your school counselor or doctor, or you can call a national helpline like the National Suicide Prevention Lifeline at 1-800-273-8255."
I feel lazy and numb. I have no interest in things.,You might be experiencing depression. It's important to talk to a doctor or mental health professional if you are feeling this way for more than two weeks.
"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research?","It is not advisable to self-diagnose mental disorders, as only a professional can give a definitive diagnosis. However, if you are certain that you have a particular disorder based on your research and symptoms, it is important to seek professional help to confirm the diagnosis and get the appropriate treatment."
"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.","There are a few things you can do to make new friends:

1. Join a club or organization that interests you. This will give you a chance to meet people with similar interests.

2. Get involved in your community. Volunteer for a local charity or join a book club or sports team.

3. Attend social events. Go to concerts, festivals, or parties. This is a great way to meet new people.

4. Use social media. Join online communities or forums that focus on topics you're interested in.

5. Be open to new experiences. Try new things and meet new people. You never know who you'll connect with."
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,I'm sorry to hear that you feel this way. It sounds like you are going through a lot. I encourage you to talk to a counselor or therapist who can help you work through these feelings. You are not worthless and you deserve to be happy.
"I'm depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am picking at my skin profusely. After roughly a week, the anxiety is back and still picking. Sometimes I find myself causing fights to have change.","You may be suffering from a condition known as dermatillomania, or skin-picking disorder. This disorder is characterized by the repeated urge to pick at one's skin, often to the point of causing injury. This can lead to feelings of anxiety, depression, and low self-esteem. If you think you may be suffering from dermatillomania, it is important to seek professional help."
I'm very depressed. How do I find someone to talk to?,"There are many ways to find someone to talk to about your depression. You can start by talking to your family or friends about how you're feeling. If you don't feel comfortable talking to them, you can also seek out professional help. There are many therapists and counselors who specialize in helping people with depression. You can also look for support groups in your area."
I'm constantly in a bad mood and I have no energy. Is that depression?,"It's possible that you're experiencing depression, but it's also possible that you're just going through a tough period. Depression is characterized by persistent feelings of sadness, hopelessness, and low energy, so if you're only experiencing these symptoms for a short period of time, it's unlikely that you're depressed. However, if your mood and energy levels have been consistently low for two weeks or longer, it's worth considering whether you might be depressed and talking to your doctor about it."
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.    Sometimes I feel i'm not worth knowing or i'm never going to do anything right.
   Are they right, am I depressed?","There is no single answer to this question, as it can vary depending on the individual. However, if you are consistently feeling down or worthless, it may be indicative of depression. If you are having difficulty functioning in your everyday life, it is important to seek professional help."
"She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason. She says she is always ""kind of down.""
   Is this depression? What can I do to help her?","There are a number of possible explanations for your daughter's symptoms, and it is difficult to say definitively whether or not she is experiencing depression without a more thorough evaluation. However, her sleep problems, appetite changes, and mood swings could all be indicative of depression. Additionally, if she feels ""down"" most of the time, this is another symptom that is often associated with depression.

There are a few things you can do to help your daughter if you think she may be depressed. First, you can talk to her about her symptoms and see if she is willing to open up about how she is feeling. It is also important to encourage her to get regular exercise and to eat a healthy diet, as these can help improve mood and energy levels. Additionally, you can talk to her doctor about her symptoms and whether or not medication or therapy may be helpful."
"I'm a teenager and I I go through periods of moodiness. I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless.
   I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships. I also don't know who I am as a person. I'm not happy overall, but I'm not suicidal. Can I just feel happy?","It is certainly possible to feel happy, even if you have been experiencing moodiness and negative emotions for a while. It sounds like you may benefit from some counseling or therapy to help you work through your trust issues, low self esteem, and fear of abandonment. This can be a really helpful way to learn more about yourself and to figure out how to be happy in your life. If you are not suicidal, then that is a good sign that you do have some hope for happiness in your life. Hang in there and reach out for help if you need it."
"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression?
   I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though.","It's possible that you are dealing with depression, although it's also possible that you are simply feeling overwhelmed due to the current circumstances in your life. If you are feeling persistently sad, hopeless, or helpless, or if you are struggling to function in your day-to-day life, it's important to reach out for help. Depression is a treatable condition, and there is no shame in seeking professional help to get through a difficult time."
"I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm. We just eat, smoke weed, watch movies, and he'll go on his phone all day. He doesn't seem motivated to do much and he's often angry.
    I have no clue how to help him take his mind off the negative, or to distract him into a different light. How do I help him?","There are a few things you can do to try and help your boyfriend out of his funk. First, try and encourage him to be more active. Getting up and moving around will help to improve his mood and give him something to focus on. Secondly, try and get him involved in some hobbies or activities that he enjoys. Doing things that make him happy will help him to feel better about himself and his life. Finally, try and be supportive and understanding. Listening to him and being there for him will let him know that you care and that you want to help."
My mother is combative with me when I say I don't want to talk with her about my depression.    She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me.    How can I get her to understand?,"It sounds like you have tried to communicate your needs to your mother, but she isn't hearing you. It's possible that she is feeling overwhelmed herself and doesn't know how to support you. It's also possible that she is in denial about your depression and is trying to avoid the topic.

You might try speaking to her again, using specific language to explain that you need her support and that you don't want to argue. If she still doesn't listen, you might need to consider getting support from someone else, such as a therapist or a friend."
I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow.,"It sounds like you are feeling frustrated and stuck in your current situation. It's normal to feel like this at times, but it sounds like it might be affecting your day-to-day life and making you feel really unhappy.

There are a few things you can do to try and improve your situation. First, try talking to your family members and explain how you're feeling. It's possible they're not aware of how their actions are affecting you and they might be willing to make some changes if they understand how you're feeling.

You can also try to find some activities or hobbies that make you feel good and help you to relax. This can be anything from reading, to listening to music, to going for walks. Doing things that make you feel good can help you to feel more positive about your life overall.

If you're finding that your current situation is really affecting your mental health, it might be worth considering talking to a therapist or counselor. They can help you to understand your feelings and give you some tools to deal with them."
"I can't seem to feel any emotion except anxiety, not even for myself.",You may be experiencing symptoms of anxiety or depression. It is important to talk to a mental health professional to discuss your symptoms and develop a treatment plan.
I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?,"There are a number of ways that you can deal with depression without telling anyone. Some people find that journaling or writing down their thoughts and feelings helps them to understand and process their emotions. Others find relief through exercise, spending time in nature, or talking to a trusted friend or family member. If you are struggling to cope with your depression, it is important to reach out for help. There are many resources available to you, including mental health professionals, support groups, and hotlines."
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.    How can I overcome this pain and learn to be happy alone?,"There are a few things that you can do in order to try and overcome this pain and loneliness that you may be feeling. First, it is important to reach out to your friends and family members and let them know how you are feeling. This can help you to feel more connected to others and less alone. Additionally, you can try to get involved in activities that make you happy and help you to forget about your pain for a little while. Finally, you can seek out professional help if you feel like you are struggling to cope with your pain on your own."
"How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent.","There is no one-size-fits-all answer to this question, as everyone experiences sadness differently and copes with it in different ways. However, some tips that may help you cope with your sadness after the loss of someone who made you happy include:

-Talk to someone about how you're feeling. Talking to a trusted friend or family member, or even a therapist, can help you process your emotions and start to feel better.

-Do things that make you happy. Whether it's listening to your favorite music, going for a walk in nature, or spending time with your pet, doing things that make you happy can help you start to feel better.

-Focus on the positive. Instead of dwelling on the loss of the person who made you happy, try to focus on the positive aspects of your life. This can help you start to feel more hopeful and optimistic."
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.","It could be that you are feeling trapped or suffocated in your current situation. Maybe you feel like you can't express yourself or that you're not being heard. It's possible that you feel like you're constantly fighting an uphill battle and you're just exhausted. If any of these resonate with you, it might be helpful to talk to someone about what you're going through. A therapist could help you identify and work through whatever it is that's causing you this intense, unidentifiable emotion."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.","It sounds like you feel like you're stuck in a difficult situation with your parents. It can be really tough when we don't feel like we can rely on the people who are supposed to be closest to us. Sometimes it might help to talk to another adult who can be a supportive figure in your life, like a teacher, coach, or family friend. It's also important to have a strong support system of friends who you can rely on. Make sure to reach out to them when you're feeling down and let them know how much their support means to you."
